sweep_index          Cl_1[1/cm^2]         Cl_2[1/cm^2]         Cl_3[1/cm^2]         Total[1/cm^2]        
     -0.510000E+000      0.133976E+014      0.126047E-005      0.948045E+000      0.133976E+014 
     -0.500000E+000      0.133943E+014      0.164861E-005      0.122564E+001      0.133943E+014 
     -0.490000E+000      0.133911E+014      0.216205E-005      0.157134E+001      0.133911E+014 
     -0.480000E+000      0.133879E+014      0.283228E-005      0.202698E+001      0.133879E+014 
     -0.470000E+000      0.133847E+014      0.372167E-005      0.262152E+001      0.133847E+014 
     -0.460000E+000      0.133815E+014      0.487898E-005      0.338863E+001      0.133815E+014 
     -0.450000E+000      0.133784E+014      0.640749E-005      0.438148E+001      0.133784E+014 
     -0.440000E+000      0.133753E+014      0.842294E-005      0.567142E+001      0.133753E+014 
     -0.430000E+000      0.133723E+014      0.110812E-004      0.734930E+001      0.133723E+014 
     -0.420000E+000      0.133692E+014      0.145980E-004      0.955253E+001      0.133692E+014 
     -0.410000E+000      0.133662E+014      0.192387E-004      0.124113E+002      0.133662E+014 
     -0.400000E+000      0.133633E+014      0.253812E-004      0.161494E+002      0.133633E+014 
     -0.390000E+000      0.133603E+014      0.335187E-004      0.210392E+002      0.133603E+014 
     -0.380000E+000      0.133574E+014      0.442853E-004      0.274311E+002      0.133574E+014 
     -0.370000E+000      0.133545E+014      0.585684E-004      0.358016E+002      0.133545E+014 
     -0.360000E+000      0.133516E+014      0.775211E-004      0.467785E+002      0.133516E+014 
     -0.350000E+000      0.133488E+014      0.102674E-003      0.611769E+002      0.133488E+014 
     -0.340000E+000      0.133460E+014      0.136097E-003      0.800953E+002      0.133460E+014 
     -0.330000E+000      0.133432E+014      0.180571E-003      0.104961E+003      0.133432E+014 
     -0.320000E+000      0.133404E+014      0.239684E-003      0.137669E+003      0.133404E+014 
     -0.310000E+000      0.133377E+014      0.318373E-003      0.180724E+003      0.133377E+014 
     -0.300000E+000      0.133350E+014      0.423202E-003      0.237456E+003      0.133350E+014 
     -0.290000E+000      0.133323E+014      0.562953E-003      0.312272E+003      0.133323E+014 
     -0.280000E+000      0.133296E+014      0.749307E-003      0.411008E+003      0.133296E+014 
     -0.270000E+000      0.133269E+014      0.998026E-003      0.541387E+003      0.133269E+014 
     -0.260000E+000      0.133243E+014      0.133014E-002      0.713715E+003      0.133243E+014 
     -0.250000E+000      0.133217E+014      0.177386E-002      0.941643E+003      0.133217E+014 
     -0.240000E+000      0.133191E+014      0.236708E-002      0.124330E+004      0.133191E+014 
     -0.230000E+000      0.133165E+014      0.316055E-002      0.164282E+004      0.133165E+014 
     -0.220000E+000      0.133140E+014      0.422924E-002      0.217618E+004      0.133140E+014 
     -0.210000E+000      0.133114E+014      0.565338E-002      0.287960E+004      0.133114E+014 
     -0.200000E+000      0.133089E+014      0.756135E-002      0.381308E+004      0.133089E+014 
     -0.190000E+000      0.133064E+014      0.101189E-001      0.505268E+004      0.133064E+014 
     -0.180000E+000      0.133039E+014      0.135490E-001      0.669985E+004      0.133039E+014 
     -0.170000E+000      0.133015E+014      0.181517E-001      0.888994E+004      0.133015E+014 
     -0.160000E+000      0.132990E+014      0.243309E-001      0.118037E+005      0.132990E+014 
     -0.150000E+000      0.132966E+014      0.326307E-001      0.156826E+005      0.132966E+014 
     -0.140000E+000      0.132942E+014      0.437842E-001      0.208495E+005      0.132942E+014 
     -0.130000E+000      0.132918E+014      0.587799E-001      0.277358E+005      0.132918E+014 
     -0.120000E+000      0.132894E+014      0.789508E-001      0.369193E+005      0.132894E+014 
     -0.110000E+000      0.132870E+014      0.106096E+000      0.491728E+005      0.132870E+014 
     -0.100000E+000      0.132847E+014      0.142642E+000      0.655321E+005      0.132847E+014 
     -0.900000E-001      0.132824E+014      0.191869E+000      0.873845E+005      0.132824E+014 
     -0.800000E-001      0.132801E+014      0.258204E+000      0.116590E+006      0.132801E+014 
     -0.700000E-001      0.132778E+014      0.347635E+000      0.155645E+006      0.132778E+014 
     -0.600000E-001      0.132755E+014      0.468252E+000      0.207895E+006      0.132755E+014 
     -0.500000E-001      0.132732E+014      0.631000E+000      0.277837E+006      0.132732E+014 
