 sweep_index          Cl_1[1/cm^2]         Cl_2[1/cm^2]         Cl_3[1/cm^2]         Total[1/cm^2]        
     -0.670000E+000      0.448393E+012     -0.173205E-039     -0.448393E+012      0.580609E+001 
     -0.660000E+000      0.457611E+012     -0.172716E-039     -0.457611E+012      0.198938E+001 
     -0.650000E+000      0.466710E+012     -0.172248E-039     -0.466710E+012      0.846387E+001 
     -0.640000E+000      0.475696E+012     -0.171801E-039     -0.475696E+012      0.938147E+001 
     -0.630000E+000      0.484573E+012     -0.171376E-039     -0.484573E+012      0.863196E+001 
     -0.620000E+000      0.493344E+012     -0.170971E-039     -0.493344E+012      0.692639E+001 
     -0.610000E+000      0.502012E+012     -0.170586E-039     -0.502012E+012      0.348816E+001 
     -0.600000E+000      0.510582E+012     -0.170223E-039     -0.510582E+012      0.552618E+001 
     -0.590000E+000      0.519057E+012     -0.169880E-039     -0.519057E+012      0.134431E+002 
     -0.580000E+000      0.527439E+012     -0.169558E-039     -0.527439E+012      0.106263E+002 
     -0.570000E+000      0.535731E+012     -0.169257E-039     -0.535731E+012      0.923468E+001 
     -0.560000E+000      0.543937E+012     -0.168976E-039     -0.543937E+012      0.458600E+001 
     -0.550000E+000      0.552059E+012     -0.168717E-039     -0.552059E+012      0.414050E+001 
     -0.540000E+000      0.560099E+012     -0.168478E-039     -0.560099E+012      0.505701E+001 
     -0.530000E+000      0.568060E+012     -0.168261E-039     -0.568060E+012      0.705908E+001 
     -0.520000E+000      0.575944E+012     -0.168066E-039     -0.575944E+012      0.933508E+001 
     -0.510000E+000      0.583754E+012     -0.167892E-039     -0.583754E+012      0.617822E+001 
     -0.500000E+000      0.591491E+012     -0.167741E-039     -0.591491E+012      0.137460E+002 
     -0.490000E+000      0.599157E+012     -0.167612E-039     -0.599157E+012      0.105399E+002 
     -0.480000E+000      0.606755E+012     -0.167505E-039     -0.606755E+012      0.634790E+001 
     -0.470000E+000      0.614285E+012     -0.167422E-039     -0.614285E+012      0.624243E+001 
     -0.460000E+000      0.621751E+012     -0.167363E-039     -0.621751E+012      0.202979E+001 
     -0.450000E+000      0.629153E+012     -0.167327E-039     -0.629153E+012      0.672412E+001 
     -0.440000E+000      0.636493E+012     -0.167317E-039     -0.636493E+012      0.662280E+001 
     -0.430000E+000      0.643773E+012     -0.167331E-039     -0.643773E+012      0.543750E+001 
     -0.420000E+000      0.650994E+012     -0.167372E-039     -0.650994E+012      0.101052E+002 
     -0.410000E+000      0.658157E+012     -0.167438E-039     -0.658157E+012      0.406665E+001 
     -0.400000E+000      0.665264E+012     -0.167532E-039     -0.665264E+012      0.219055E+001 
     -0.390000E+000      0.672316E+012     -0.167654E-039     -0.672316E+012     -0.256030E+001 
     -0.380000E+000      0.679315E+012     -0.167804E-039     -0.679315E+012      0.663794E+001 
     -0.370000E+000      0.686261E+012     -0.167984E-039     -0.686261E+012      0.287561E+001 
     -0.360000E+000      0.693156E+012     -0.168195E-039     -0.693156E+012      0.775781E+001 
     -0.350000E+000      0.700001E+012     -0.168437E-039     -0.700001E+012      0.463232E+001 
     -0.340000E+000      0.706796E+012     -0.168711E-039     -0.706796E+012      0.706287E+001 
     -0.330000E+000      0.713544E+012     -0.169019E-039     -0.713544E+012      0.276099E+001 
     -0.320000E+000      0.720245E+012     -0.169361E-039     -0.720245E+012      0.519922E+001 
     -0.310000E+000      0.726900E+012     -0.169739E-039     -0.726900E+012      0.108143E+002 
     -0.300000E+000      0.733509E+012     -0.170154E-039     -0.733509E+012      0.666919E+001 
     -0.290000E+000      0.740075E+012     -0.170608E-039     -0.740075E+012      0.152197E+001 
     -0.280000E+000      0.746597E+012     -0.171102E-039     -0.746597E+012      0.113298E+002 
     -0.270000E+000      0.753076E+012     -0.171638E-039     -0.753076E+012      0.575793E+001 
     -0.260000E+000      0.759514E+012     -0.172217E-039     -0.759514E+012      0.565259E+001 
     -0.250000E+000      0.765911E+012     -0.172841E-039     -0.765911E+012      0.894812E+001 
     -0.240000E+000      0.772268E+012     -0.173513E-039     -0.772268E+012      0.116923E+002 
     -0.230000E+000      0.778586E+012     -0.174233E-039     -0.778586E+012      0.486694E+001 
     -0.220000E+000      0.784865E+012     -0.175004E-039     -0.784865E+012      0.826416E+000 
     -0.210000E+000      0.791106E+012     -0.175829E-039     -0.791106E+012      0.134729E+001 
     -0.200000E+000      0.797310E+012     -0.176710E-039     -0.797310E+012      0.118356E+002 
     -0.190000E+000      0.803477E+012     -0.177650E-039     -0.803477E+012      0.339551E+001 
     -0.180000E+000      0.809608E+012     -0.178651E-039     -0.809608E+012      0.985571E+001 
     -0.170000E+000      0.815704E+012     -0.179717E-039     -0.815704E+012      0.615088E+001 
     -0.160000E+000      0.821765E+012     -0.180850E-039     -0.821765E+012      0.643213E+001 
